#,identifier,typ,DEC (rad),RA (rad),plx (mas),Mag V (mag)
4861,HD 150366,PM*,-0.4270464767,4.370317386,12.4374,6.09
4862,HD 205872,PM*,-0.5878068741,5.668401492,22.6862,6.277
4863,HD 10481,PM*,-0.6655433782,0.4426825173,23.7614,6.183
4864,HD 59726,*,-0.01965027317,1.969121254,7.0494,6.57
4865,HD 124099,*,-1.355496375,3.739015103,1.6098,6.472
4866,HD 103632,PM*,-0.2993383564,3.124208746,13.0075,5.160
4867,HD 40535,dS*,-0.1637507,1.566511558,10.6592,6.16
4868,HD 64827,**,-0.7278533184,2.06837566,1.4138,6.829
4869,HD 157792,PM*,-0.4219387039,4.565651626,40.0272,4.153
4870,HD 7011,*,0.8060602686,0.3105651906,2.6563,6.600
4871,HD 162586,**,-0.606166914,4.683269629,3.68,6.12
4872,HD 145050,LP*,0.1503282947,4.226352073,5.5468,6.59
4873,HD 6028,*,0.8907278668,0.2718691897,4.6611,6.490
4874,BD+16 3390,**,0.2875706576,4.756656924,3.79,6.100
4875,HD 146310,*,-1.254436151,4.283142982,10.1413,6.70
4876,HD 148330,a2*,0.9635106946,4.295352623,8.1506,5.734
4877,HD 52287,*,0.1854419499,1.836858714,2.859,6.83
4878,HD 33872,V*,-0.6526709419,1.359599563,2.6739,6.574
4879,* ome Leo A,PM*,0.1580705436,2.480360886,~,5.62
4880,HD 71267,*,-0.2605717443,2.207520804,8.8171,5.951
4881,HD 88218,**,-0.6258188516,2.659574025,31.5137,6.13
4882,HD 205331,*,0.8430534897,5.642512077,3.3251,6.830
4883,HD 132770,LP*,1.306923686,3.905185515,2.2904,6.90
4884,HD 219028,*,0.6452096863,6.075564943,6.4699,6.91
4885,HD 163139,*,-0.611718767,4.695508553,3.5509,6.73
4886,HD 195902,*,-0.7738372857,5.392180795,7.0975,6.37
4887,HD 194121,*,-0.2463350428,5.341718391,6.16,6.97
4888,HD 88323,PM*,-1.148696768,2.656009427,9.7119,5.258
4889,HD 190252,PM*,1.228134992,5.230304504,6.7898,6.323
4890,HD 2825,*,0.9392507452,0.1404532844,2.3057,6.91
4891,HD 136751,PM*,0.7755261897,4.01728834,17.6868,6.140
4892,HD 30453,SB*,0.5687712514,1.262387928,9.8483,5.824
4893,HD 93165,*,-1.317091091,2.803871265,2.8432,6.87
4894,HD 181558,Pu*,-0.3357046057,5.068517127,4.4426,6.26
4895,HD 121607,*,0.01833608927,3.649765391,11.3738,5.898
4896,HD 128620,SB*,-1.06175347,3.83801495,742.12,0.01
4897,HD 200021,*,0.7148909923,5.495479284,5.063,6.98
4898,HD 135517,SB*,0.7513308278,3.988020596,9.6939,6.660
4899,HD 211433,SB*,0.399612012,5.832329006,9.2086,6.92
4900,HD 23862,Be*,0.4212650636,1.000016691,7.2414,5.09
4901,HD 223785,*,-0.3239658063,6.251178966,9.869,6.824
4902,HD 54986,*,0.2962927137,1.883999096,4.1789,6.50
4903,HD 156098,PM*,-0.5700740853,4.52503122,20.6298,5.526
4904,HD 209459,*,0.1987327607,5.774060592,4.6202,5.822
4905,HD 19349,*,-0.1062652399,0.8140138833,5.6074,5.256
4906,HD 157087,*,0.4457152636,4.538571214,7.2227,5.357
4907,HD 97619,PM*,1.366749125,2.950254961,4.7055,6.882
4908,HD 28053,*,-0.02462511005,1.159160326,7.5463,6.75
4909,HD 146639,*,0.6379960528,4.257928503,3.6312,6.990
4910,HD 23245,PM*,0.4869023592,0.9800884011,16.6586,6.732
4911,HD 155970A,SB*,-0.2545417609,4.517514356,10.1908,6.004
4912,HD 208141,*,1.132717057,5.723829312,6.3485,6.84
4913,HD 214952,LP?,-0.8182902273,5.945758641,18.43,2.11
4914,HD 24185,SB*,-0.9476048802,0.9966421646,4.0271,6.90
4915,HD 35943,**,0.4389540791,1.43673323,7.67,5.480
4916,HD 94747,*,0.4450632165,2.864843583,11.3829,6.354
4917,HD 83352,*,-0.05533810032,2.520977958,7.1594,6.46
4918,HD 196724,PM*,0.370030092,5.40407306,18.2449,4.82
4919,HD 151613,SB*,0.9910311104,4.38643867,37.3269,4.837
4920,HD 222978A,*,0.356316638,6.219868174,6.8880,6.63
4921,HD 175329,PM*,-1.050697772,4.968112265,6.154,5.14
4922,Cl Stock 1,OpC,0.4391771997,5.133816182,2.447,5.3
4923,HD 27777,*,0.5956940987,1.154037543,6.8599,5.718
4924,HD 114268,*,-0.2882445633,3.445744317,4.2609,6.75
4925,HD 204153,PM*,0.815319064,5.608291855,29.3328,5.580
4926,HD 38170,Pu*,-0.6050675449,1.493361483,8.9290,5.283
4927,HD 114792,*,-1.093516657,3.464617475,0.6718,6.84
4928,HD 172671,**,0.7144515099,4.884961331,3.2943,6.230
4929,HD 77350,SB*,0.426783385,2.368140375,7.2947,5.447
4930,HD 158926,bC*,-0.647583886,4.597235074,5.71,1.63
4931,HD 225094,s*b,1.110736559,0.01496006311,0.8162,6.22
4932,HD 67228,PM*,0.3766736955,2.128273125,41.9916,5.30
4933,HD 99167,*,-0.1895310025,2.987174009,8.1780,4.802
4934,HD 6966,*,0.2735613465,0.3062646784,4.8883,6.043
4935,HD 1613,s*r,1.080002678,0.09043445999,0.8649,6.95
4936,HD 19735,PM*,0.8329736438,0.8396793968,6.1171,6.327
4937,HD 151078,RG*,-0.6872576745,4.392990669,11.3351,5.481
4938,HD 59067,*,-0.2017053944,1.954162247,~,6.11
4939,HD 117025,PM*,-1.128805669,3.530503634,10.0338,6.07
4940,HD 22072,PM*,0.3112415709,0.9343604209,23.8593,6.16
4941,HD 83465,PM*,-0.9240413201,2.516640383,8.5052,6.177
4942,HD 187038,*,0.5740142084,5.177447219,7.7486,6.179
4943,HD 21050,*,0.3630894044,0.892017107,9.6813,6.061
4944,HD 14279,*,0.1427801151,0.6051610888,7.1139,6.84
4945,HD 35239,*,0.543550478,1.416517929,4.0096,5.925
4946,HD 89571,**,1.470473584,2.747557643,23.0490,5.510
4947,HD 188892,SB*,0.671719967,5.2179353,2.5612,4.946
4948,HD 177406,*,-0.8429790942,5.00441216,8.8414,5.951
4949,HD 194454,*,-0.04887575641,5.348163308,6.1201,6.100
4950,HD 17254,*,-0.9175300048,0.7163538134,9.5208,6.151
4951,HD 131747,*,0.2614397324,3.905251113,5.3966,6.91
4952,HD 166636,PM*,-0.8083071657,4.772565415,8.7892,6.81
4953,HD 181521,*,0.7044232093,5.056954154,4.5975,6.866
4954,HD 124639,Be*,-1.445974597,3.771515783,3.2853,6.417
4955,HD 199611,*,0.8853810382,5.482186626,19.4264,5.820
4956,HD 34053,*,0.3889441163,1.376457889,6.3430,6.27
4957,HD 203286,*,0.5844310914,5.586547623,5.9281,6.92
4958,HD 24480,*,1.066551246,1.034710414,3.1699,5.05
4959,HD 212386,PM*,-0.7232703276,5.867158801,15.5112,6.62
4960,HD 36404,*,0.7349398964,1.455075443,1.6439,6.54
4961,HD 29435,*,-0.5361089085,1.207980975,7.6266,6.271
4962,HD 41116,**,0.406021956,1.588774341,21.03,4.15
4963,HD 145622,*,1.340307111,4.20415995,5.9344,5.730
4964,HD 197345,sg*,0.7902909987,5.416768606,2.31,1.25
4965,HD 194086,PM*,-0.5075040678,5.343812553,6.014,6.95
4966,HD 4362,*,1.03977189,0.2038005323,1.5021,6.410
4967,HD 214465,*,-0.6715563139,5.929435754,3.572,6.56
4968,HD 113005,*,-0.5868342543,3.407993044,5.8728,6.91
4969,HD 85656,*,-1.095108882,2.57840271,3.6312,5.560
4970,HD 33340,SB*,0.1426475433,1.352501795,10.3799,6.96
4971,HD 1075,*,0.5504022487,0.0659553151,3.5637,6.340
4972,HD 48737,PM*,0.2250705911,1.768408649,54.1894,3.36
4973,HD 81039,PM*,0.6385650025,2.462549754,9.2337,6.680
4974,HD 206540,*,0.1889199464,5.683443665,6.4277,6.051
4975,HD 77258,SB*,-0.7200112764,2.356587898,15.1460,4.446
4976,HD 105113A,PM*,-0.5752819902,3.168150423,20.6657,6.62
4977,HD 159223,dS*,0.4614556624,4.592045952,12.6195,6.84
4978,* 118 Tau A,**,0.4389540204,1.436733138,9.2209,5.84
4979,HD 99922A,PM*,-0.4269777168,3.009138102,8.6451,5.813
4980,HD 223211,*,0.4464472892,6.228597597,4.4286,6.783
4981,HD 224974,SB*,-0.2340039003,0.009939954345,16.0980,6.89
4982,HD 93943,**,-1.03539545,2.833573682,4.1546,5.91
4983,HD 108522,*,-0.2522163796,3.263896709,4.8893,6.79
4984,HD 123033,PM*,0.4506046596,3.685985988,22.6935,6.95
4985,HD 218631,SB*,-1.05704816,6.066989395,9.1934,6.71
4986,HD 173648,SB*,0.6563331885,4.90774638,20.6632,4.36
4987,HD 50241,PM*,-1.081081183,1.781068877,33.78,3.23
4988,HD 166205,PM*,1.511218808,4.591161189,17.8802,4.336
4989,HD 203280,PM*,1.092324339,5.578855675,66.50,2.460
4990,HD 58142,PM*,0.8589031773,1.949158417,11.9021,4.610
4991,HD 206005,PM*,-0.1846012484,5.670000626,10.1788,6.07
4992,HD 123177,*,-0.1551880402,3.692663678,7.8015,6.519
4993,HD 209149,PM*,0.5760620987,5.761528207,13.8534,6.470
4994,HD 118781,LP?,-0.6937262715,3.576531779,2.9257,6.36
4995,HD 222643,*,-0.2696189681,6.206668798,4.3874,5.257
